id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
314;168925,58896454348;181028,32028589523;207381,2773096895;164858,04891578775;175069,07935203487;194324,2440668457;167969,62331850643;180662,9172721665;207285,848538261;160836,500483101;174657,35050289158;194335,72482829407;154577,01691888456;164892,01059977326;179066,86286008294;158372,9394790641;171447,36757065367;187874,39612564046;177053,38622672073;190465,91013685308;219318,62521550842;154029,92417293004;165822,8073396829;183522,7802801945;131728,38905136168;136444,32090177175;150048,75155014152;163870,3243434773;177301,8424844153;202059,45051170042
315;169047,8643299839;181665,43336381685;198818,5544583029;164858,04891578775;175240,87346689063;193572,23336166478;167749,43419007075;180596,24087286572;205504,66873152746;160836,500483101;174927,98281853215;196138,8032185146;154577,01691888456;165264,1655072298;181288,26270236084;158372,9394790641;170468,7516681351;191608,4428035086;177053,38622672073;190332,58536430105;207515,07855641225;154029,92417293004;166279,31753072698;183145,7155599142;131240,76899519216;136139,81512470444;144800,89684295715;163870,3243434773;176664,10486196887;197877,40100650472
316;169047,8643299839;180828,6403325527;202423,23767261166;165635,9304204343;175241,14657859135;193300,69943577348;167749,43419007075;180601,8932125595;199816,24740081606;160836,500483101;174541,26708848038;192916,5538017416;154577,01691888456;164849,39423934184;181870,2071944745;158372,9394790641;170240,32721997597;187744,26934974568;178877,61230621435;190554,82685290425;209842,01649861442;154029,92417293004;165790,29826720254;187448,32987986572;131108,93450243858;135777,99927653602;145947,13945213464;163870,3243434773;175353,5629665553;194680,1139802387
317;168647,34879424734;180397,59119519373;201137,535621496;165635,9304204343;175246,47826486986;192380,40020150357;167995,5687753377;180608,24222410325;198031,70874891747;162752,82004705354;174670,6705209501;191689,7188817766;154577,01691888456;165147,0739593881;185157,67444189388;157668,0310925146;170029,61522257578;188041,6607765101;179732,80745448312;190109,59693829285;208778,8600142253;154029,92417293004;165011,2905990971;182942,01949374677;131093,2717006174;135558,21977037285;148162,33092182598;164467,0889002066;175555,98802212314;193097,5893751069
318;170071,0802222413;179599,0863757954;204351,49761186328;165635,9304204343;175624,0575455897;193138,16980081837;166010,21799881678;179938,7129568887;206093,71407637806;162424,43519240763;175410,09899161462;201552,35929206747;155518,93034938426;165154,05526830597;180410,3795073524;157668,0310925146;169391,09629657253;188871,8830288479;179539,08166450803;189961,2436514896;207051,96086620758;151270,89960496675;165615,9583309768;188259,19249880099;130994,54357175465;135282,9777223074;145483,95018092764;164878,7627355251;175307,70949700396;197772,0775821753
319;170071,0802222413;179624,92326152237;206727,10203007644;165635,9304204343;175683,77977966086;191924,6509910868;166828,60264337613;179166,28991735156;199687,20102828334;162752,82004705354;175543,30655249083;192189,90001941755;155518,93034938426;165365,1118500301;180036,42433356357;158031,4575160682;169389,95138616397;185091,57479355132;178533,75299857662;189736,42775362637;211463,28167387279;151270,89960496675;165921,94549146644;185757,68109748262;130215,4553642854;134937,2572326225;146051,78667373923;164132,63455801966;174876,963015769;194066,7674356091
320;170405,0705281054;179390,28570000821;196193,30072707092;165796,0500722466;175633,8995125803;192317,56848175175;166828,60264337613;179244,81486370956;202271,90975089718;163020,65850651002;175226,7028766787;193070,64710078994;152275,1581369015;164934,60817323462;181626,10403194625;158031,4575160682;169268,4064725277;184607,94736787514;176839,1848571483;189311,01799479907;208079,82681634324;151270,89960496675;166442,6621256336;189319,41456430024;129590,44064077755;134587,56648843034;145711,97368538746;163129,2005470806;174678,06210934892;198594,72826433252
321;168832,38846016605;179974,50382114167;198651,6401623501;164429,74083668983;175526,8580965509;192187,14745229686;166828,60264337613;179483,32877028506;197416,4201711968;161028,91140129435;175735,56165077633;194881,8926315855;152275,1581369015;164967,88698832798;181654,84548014504;158031,4575160682;168988,41275837683;185869,21183302958;176839,1848571483;189310,41145587873;210943,32405998747;153309,51360798403;166171,0738254915;191508,2912718187;128659,37013680239;134109,24416244138;143991,2423393672;163527,1653144034;173824,84401365442;189805,40734533698
322;168832,38846016605;179284,5190474766;199149,85764107792;165037,35337223936;175014,92517956116;187949,90641786976;167408,57294088163;178844,62616564543;200428,55035384817;161028,91140129435;176284,66587475748;193632,9097303592;152275,1581369015;165431,27709852738;184929,53223057988;158480,41806765227;168888,0195187633;186698,7697036195;176839,1848571483;189154,50670724353;213935,1122147755;152799,24885883494;165952,6314776647;187515,13166546755;128659,37013680239;133744,07063573573;145297,06886983025;164363,4951180328;173969,48032924408;193340,18280992375
323;169599,38607292058;178902,15976411992;196427,05045087193;164389,1050085086;175183,83260062267;195774,96596315427;166510,85834467536;179226,1765542352;205716,24466320907;158659,03225330418;176339,51822437873;193568,48175864518;152275,1581369015;165856,74516432185;189918,75570832725;158480,41806765227;168650,52432351274;186433,7923079408;176839,1848571483;188210,71438632044;205226,98836885035;152799,24885883494;166029,6624012033;190826,5000362788;128599,13856270403;133601,7682938614;140944,3116286227;164363,4951180328;174306,32503373877;195494,42644789294
