id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
37;103275,58492762946;118692,72069914456;137529,76967693932;105022,60012489074;118232,13548060672;140133,25738945862;108848,91995247765;119480,04647979903;132226,362577497;105147,85739138762;115574,89891956057;128547,4226314507;108095,98436858955;120475,20077750755;138766,5942519687;102615,64938533264;111368,26598657409;133848,11834391888;103985,6703859312;117458,85795953096;136130,35400293683;104736,77222970565;115446,18320474657;131627,80359770617;108043,57678614897;118776,43508563246;138861,34902843545;107847,98568672044;122177,80376395918;137528,1014173037
38;102187,92239250944;117997,29950959921;135999,41563474305;105022,60012489074;117332,18617376896;144523,50574133024;107501,99790131283;119024,50648480433;132285,26097617965;105278,27074412693;114538,86356853595;132487,75044297936;106698,78412361027;119137,73929151183;141487,51922111376;102223,55322855666;110908,27797862953;133284,31294410853;103402,49831209535;116933,0077641389;132826,3146212547;104248,83101778696;114454,16338637433;130437,4068417467;108758,39523287308;119644,1393033548;142231,9852895819;107847,98568672044;121671,34517619906;139175,27245381582
39;102187,92239250944;116402,8085087848;139335,08759132342;105022,60012489074;117574,60186679995;133408,3310792887;107467,10761260136;118179,18969687025;136124,4734282252;103502,71895224093;114335,1728033643;129759,56020349736;106698,78412361027;118903,55376407957;141885,68459588452;100736,24751435635;110042,46008924929;124858,93803141943;104096,2732393858;116528,80879443092;135117,19001419956;104248,83101778696;113793,23653885814;131059,62832280576;106124,98707920138;119090,31476302184;136482,7647591947;107847,98568672044;120818,59089084894;139286,84237066092
40;101946,10504324193;115820,53531458003;136301,20619047794;105022,60012489074;116911,49000657337;137650,07880883227;107467,10761260136;117666,92367285528;132918,79284350315;104249,55117569031;113667,45492253854;128773,72176827083;106698,78412361027;118786,20161250718;138407,9247138704;96628,70266805514;108612,35972936795;131732,80810374423;103295,34213153066;115794,72699223824;133181,44582461356;101563,25134324293;112957,63540804337;127461,15349112745;107789,44354879655;118650,54949099521;135155,31179461873;106444,0288785467;119919,17217463255;143629,56646917597
41;102181,89055365116;114467,57846719792;132893,38638431297;105022,60012489074;116634,47628566652;133169,26338073562;106964,13856912107;117074,66625521526;130529,0933598963;102867,45797939494;113132,43016965235;128935,63354268351;106698,78412361027;117575,93761968717;138953,19267275184;96628,70266805514;108834,7186184634;124667,16998248897;101794,80426599194;114853,78031375066;136356,16438449474;101906,47731044269;111604,35463078367;125615,33610608653;105724,96124913504;117718,55776898119;134563,07381309336;105870,5921972339;120028,66618593727;137062,41890212803
42;101946,53542658054;113248,12040564098;133713,6469566851;105022,60012489074;115996,73263248074;139665,97147287874;106687,63208965173;115963,22130486839;132826,62749663342;98763,5885209726;112633,09470563628;128490,79451694844;106563,98153254218;116826,68300876423;142018,96165547732;96522,40378938068;108368,47902661638;122582,95019747833;101794,80426599194;115066,73892087956;128483,86950082755;100315,90572484981;110638,75531135504;128651,05469469435;100406,01350340154;117287,98513353408;134254,11326324378;105870,5921972339;118891,60583390655;134815,34060075987
43;100635,76638846574;111157,28557872275;133747,46250744342;104220,58964412022;116343,31438013904;132923,4517987294;105652,67033004812;115324,80255690537;132277,02091036216;98763,5885209726;112320,68983692155;126588,28345308092;106177,23463730158;116363,85450618627;135599,9411064961;95613,63188572384;107839,46703655623;122662,43093246764;101794,80426599194;113642,75262782509;130856,55872588359;100185,01459709018;109955,36203560875;123119,91112830657;105343,9086356796;117367,02690450073;133719,6864627989;105428,4589961464;117460,9582775646;137605,35027383358
44;100635,76638846574;110605,33037922172;129932,42740824378;104220,58964412022;115536,95245849217;137152,5587974387;103574,60554399781;114496,35890676198;128407,24197253211;98401,43133069608;111576,59700123618;124810,12732005696;104833,96506750344;114988,94798744905;135586,00765424655;95613,63188572384;106993,14605922798;126172,66311981046;102878,65597304204;113920,39417480174;134995,89267069544;100121,83458557323;109490,08389598508;122766,5387655936;103583,91479900925;116230,52918399061;131071,22121861418;105606,78667883684;117100,70166900437;137223,17740979348
45;100635,76638846574;111139,23231002352;133256,30638775622;104220,58964412022;115811,70620111145;136876,995793806;101146,40362710488;113599,91265025978;124460,50150249261;97822,20866987787;110520,44933020555;126336,61521301664;101063,07773530495;114905,6173082224;140389,66155931095;96017,61295476506;106792,91134146857;121048,72969810922;103182,9868630295;113711,78651161534;132697,56991875079;99756,65694717031;108765,82283411206;121636,3772346784;98044,19748630622;115067,14157748806;137260,93836854503;105344,02745595586;116389,4892652707;130789,44721700781
46;98542,05891949259;111497,25517866116;127848,62555139797;102363,82616049456;116236,04055112386;138095,59289564632;100894,72108305193;111809,54429556931;124728,44086294743;97142,98727645563;109809,51778215675;123716,89351215698;99945,90117516388;114449,42991604231;132496,50909832475;96522,40378938068;106193,98107808799;121447,45976508019;103182,9868630295;113995,78486550525;128940,65413767092;98860,67955129487;107532,71779726967;122381,58292834395;98044,19748630622;113848,32968069814;131585,0234882317;101779,02173066133;114557,5270605341;134986,8640994486
47;98542,05891949259;111044,9945775853;129693,84801318216;101958,29560864394;115988,80574003093;134805,47518404835;100146,72820202493;110818,34467443878;121652,49485833627;95699,13015598487;108110,352532532;126786,5844264828;99945,90117516388;113849,60219792751;129558,29354316925;96316,35731242546;105653,21392020225;118769,78681170639;103282,53233405073;113241,71418202276;129843,20968420028;98860,67955129487;106978,0822869297;119431,595325181;98044,19748630622;111712,77335957426;133025,44476842633;104637,37036474151;114541,57924074803;130622,61368003057
48;98542,05891949259;109534,19658511989;124896,40204827047;99431,25649336592;115568,5495374303;134692,97668643275;100146,72820202493;110022,64413314493;125000,45469657806;95699,13015598487;107535,75099083043;122409,95175579899;99945,90117516388;112315,66800152756;129054,07583544748;94913,9438523621;104324,78018736967;119890,38605886333;103282,53233405073;112885,31505168085;133054,4697284824;98860,67955129487;106012,91346203274;120403,18238895368;97205,0405130196;111021,6736126319;130605,59018720001;104637,37036474151;113786,40943839304;128402,3673518683
